f_location,latitude,longitude,location
"Farnorth Luzon General Hospital & Training Center,Quirino, Luna, Apayao,Philippines",18.3395298,121.3838224,"89QM+RG8, Abulug-Luna-Pudtol-Kabugao Rd, Luna, Apayao, Philippines"
"Conner District Hospital,Ripang, Conner Apayao,Philippines",17.8007847,121.3225347,"R82F+827, Conner, Apayao, Philippines"
"FLORA GYMNASIUM,POBLACION EAST, FLORA, APAYAO,Philippines",18.2327346,121.4399041,"Poblacion East, Flora, Apayao, Philippines"
"STA. MARIA GYMNASIUM,STA. MARIA, FLORA, APAYAO,Philippines",18.1145991,121.422761,"Flora, Apayao, Philippines"
"Dibagat covered court,Dibagat, Kabugao, Apayao,Philippines",18.0880699,121.095398,"Dibagat, Kabugao, Apayao, Philippines"
"Luttuacan Covered court,Mallag, Luttuacan, Kabugao, Apayao,Philippines",17.9911502,121.2068277,"Luttuacan, Kabugao, Apayao, Philippines"
"EKB-GYM Pudtol,POBLACION EAST, PUDTOL, APAYAO,Philippines",18.2327346,121.4399041,"Poblacion East, Flora, Apayao, Philippines"
"DSA Gymnasium,Poblacion, Kabugao, Apayao,Philippines",17.9779378,121.1252135,"Kabugao, Apayao, Philippines"
"PHO,SAN ISIDRO SUR, LUNA APAYAO,Philippines",18.3296401,121.3856088,"San Isidro Sur, Apayao, Philippines"
"ASIN DHC,UPPER PUROK 3 KM 4 ASIN ROAD,Philippines",16.4096895,120.5633751,"3 KM4 Asin Rd, Baguio, Benguet, Philippines"
"ATAB DHC,SANTO TOMAS ROAD DONTOGAN,Philippines",16.3793694,120.5714803,"Santo Tomas Rd, Benguet, Philippines"
"ATOK TRAIL DHC,1 ATOK TRAIL,Philippines",16.3768424,120.6269308,"1 Atok Trail, Baguio, Benguet, Philippines"
"AURORA HILL DHC,1 MALVER ST AURORA HILL PROPER,Philippines",16.4243114,120.6030892,"CJF3+P6G, Baguio, Benguet, Philippines"
"CAMPO FILIPINO DHC,BADO DANGWA ST CAMPO FILIPINO,Philippines",16.4191451,120.5887708,"Bado Dangwa, Baguio, Benguet, Philippines"
"CITY CAMP DHC,CITY CAMP CENTRAL,Philippines",16.4112161,120.5880255,"City Camp Rd, Baguio, Benguet, Philippines"
"ENGINEERS HILL DHC,UPPER ENGINEERS HILL,Philippines",16.4074556,120.6016508,"Engineers' Hill, Baguio, Benguet, Philippines"
"IRISAN DHC,PUROK 12 IRISAN,Philippines",16.4210976,120.5595696,"Irisan, Baguio, Benguet, Philippines"
"LOAKAN DHC,37 PUROK BUBON,Philippines",16.3740002,120.6156748,"Loakan Proper, Baguio, Benguet, Philippines"
"LUCBAN DHC,T ALONZO ST,Philippines",14.1344459,121.5598345,"Lucban, Quezon, Philippines"
"MINESVIEW DHC,CORNER TORRES ST. MINESVIEW,Philippines",12.879721,121.774017,Philippines
"PACDAL DHC,SIAPNO ROAD,Philippines",16.4189887,120.6138594,"Siapno Rd, Baguio, Benguet, Philippines"
