f_location,latitude,longitude,location
"Apotheek de Wand,De Wandstraat  154,Laken,Belgium",50.9007214,4.3603651,"Rue de Wand 154, 1020 Bruxelles, Belgium"
"Apotheek Debrus Tensi,Legerlaan  7,Etterbeek,Belgium",50.8375107,4.4043037,"Av. de l'Arm¨¦e 7, 1040 Etterbeek, Belgium"
"Apotheek des Cerisiers,Kerselarenlaan  99,Sint-Lambrechts-Woluwe,Belgium",50.8474523,4.4092997,"Av. des Cerisiers 99, 1200 Woluwe-Saint-Lambert, Belgium"
"Apotheek Des Citronniers,Citroenbomenlaan  56,Laken,Belgium",50.8954795,4.3274418,"Av. des Citronniers 56, 1020 Bruxelles, Belgium"
"Apotheek des Invalides,Invalidenlaan  78,Oudergem,Belgium",50.8168036,4.4139078,"Bd des Invalides 78, 1160 Auderghem, Belgium"
"Apotheek Dewever,Ninoofsesteenweg  402,Anderlecht,Belgium",50.8476808,4.310385,"Chau. de Ninove 402, 1070 Anderlecht, Belgium"
"Apotheek d'Ici Woluwe Tomberg,Tomberg  127,Sint-Lambrechts-Woluwe,Belgium",50.8426698,4.4250972,"Tomberg 127, 1200 Woluwe-Saint-Lambert, Belgium"
"Apotheek Diesdelle,Waterloosesteenweg  1215,Ukkel,Belgium",50.7946905,4.3734215,"Chau. de Waterloo 1215, 1180 Uccle, Belgium"
"Apotheek Dieweg,Dieweg  122,Ukkel,Belgium",50.7959692,4.3467372,"Dieweg 122, 1180 Uccle, Belgium"
"Apotheek du Bempt,Bemptlaan (Bij Neerstallestwg 250) 2a,Vorst,Belgium",50.8025878,4.3172629,"Av. du Bempt, 1190 Forest, Belgium"
"Apotheek Du Bon Air,Itterbeekselaan  394,Anderlecht,Belgium",50.8350472,4.2781197,"Av. d' Itterbeek 394, 1070 Anderlecht, Belgium"
"Apotheek Du Bourdon,Gulden Kasteelstraat (tram 51: halte Engeland) 14,Ukkel,Belgium",50.7886393,4.3328463,"Rue du Chateau d'Or 14, 1180 Uccle, Belgium"
"Apotheek Du Centre,Anspachlaan  152,Brussel,Belgium",50.8462831,4.3478507,"Bd Anspach 152, 1000 Bruxelles, Belgium"
"Apotheek Du Dries,Elandstraat  58,Watermaal-Bosvoorde,Belgium",50.8029199,4.3991478,"Rue de l'Elan 58, 1170 Watermael-Boitsfort, Belgium"
"Apotheek du Parvis,Ste Aleydisvoorplein  22,Sint-Pieters-Woluwe,Belgium",50.8329055,4.4317994,"Woluwe-Saint-Pierre, Belgium"
"Apotheek Du Triangle,Ransfortstraat  87,Sint-Jans-Molenbeek,Belgium",50.8508009,4.3344595,"Rue Ransfort 87, 1080 Molenbeek-Saint-Jean, Belgium"
"Apotheek du Valduc,Waversesteenweg  1461,Oudergem,Belgium",50.8189182,4.4151108,"Waversesteenweg 1461, 1160 Oudergem, Belgium"
"Apotheek Duger,Haachtsesteenweg  61,Sint-Joost-Ten-Node,Belgium",50.8564116,4.3688802,"Chau. de Haecht 61, 1210 Saint-Josse-ten-Noode, Belgium"
"Apotheek Engelbeen,Henry Dunantlaan  36, bte 4,Evere,Belgium",50.8619678,4.4098179,"Av. Henry Dunant 36, 1140 Evere, Belgium"
"Apotheek Etterbeek Pharma,Oudergemlaan  138,Etterbeek,Belgium",50.8368893,4.3870733,"Av. d'Auderghem 138, 1040 Etterbeek, Belgium"
"Apotheek Familia,St. Jobsteenweg  487,Ukkel,Belgium",50.7918589,4.3524991,"Chau. de Saint-Job 487, 1180 Uccle, Belgium"
"Apotheek Flagey,Flageyplein  20,Elsene,Belgium",50.8278007,4.3734907,"Pl. Eug¨¨ne Flagey 20, 1050 Ixelles, Belgium"
"Apotheek Florair,G Degreeflaan  41,Jette,Belgium",50.8848221,4.3342624,"Av. Guillaume De Greef 41, 1090 Jette, Belgium"
"Apotheek Frenkel Edelknaap,Edelknaapstraat nabij Kasteleinsplein 20,Elsene,Belgium",50.8235908,4.3592842,"Rue du Page 20, 1050 Ixelles, Belgium"
"Apotheek Ganter,Waterloosesteenweg  799,Ukkel,Belgium",50.8113517,4.3685232,"Chau. de Waterloo 797, 1180 Uccle, Belgium"
