f_location,latitude,longitude,location
"12 - 13 South Main Street, Bandon, Cork, P72 YP77,Ireland",51.7451892,-8.7368516,"12/13 S Main St, Gully, Bandon, Co. Cork, P72 YP77, Ireland"
"Unit C Blackpool Retail Park, Blackpool, Cork, T23 DPY1,Ireland",51.9163395,-8.4718071,"Blackpool, Cork, Co. Cork, T23 DPY1, Ireland"
"Unit 7 Owenabue Mall, Carrigaline, Cork, P43 R263,Ireland",51.8166622,-8.398584099999999,"7 Owenabue Dr, Carrigaline West, Carrigaline, Co. Cork, P43 F856, Ireland"
"Douglas Court Shopping Centre, Douglas, Cork, T12 E298,Ireland",51.8784465,-8.431557,"Douglas, Cork, Co. Cork, T12 E298, Ireland"
"1 Half Moon Street, Cork City, Cork, T12 AN8C,Ireland",51.8995572,-8.4737805,"1 Half Moon St, Centre, Cork, Ireland"
"Fair Green Plaza, Sleveen East, Macroom, Cork, P12 VC53,Ireland",51.9055739,-8.9544006,"Unit 3, Fair Green Plaza, Sleveen East, Macroom, Co. Cork, P12 VC53, Ireland"
"48-49 Mahon Point Shopping Centre, Mahon Point, Cork, T12 VX38,Ireland",51.8856802,-8.3966178,"Mahon Link Road, Mahon, Cork, T12 X7HK, Ireland"
"108 -109 Main Street, Mallow, Cork, P51 X6YH,Ireland",52.1358617,-8.6423566,"108, 109 Main St, Mallow, Co. Cork, P51 E277, Ireland"
"Merchants Quay Shopping Centre, Patrick Street, Cork, T12 P890,Ireland",51.899881,-8.4700869,"1-5 St Patrick's St, Centre, Cork, T12 ERW9, Ireland"
"26-27 Main Street, Midleton, Cork, P25 YAW6,Ireland",51.9149362,-8.1728609,"26 Main St, Townparks, Midleton, Co. Cork, P25 Y9W6, Ireland"
"Living Health Centre, Mitchelstown, Cork, P67 T263,Ireland",52.2619771,-8.2728131,"Fermoy Rd, The Demesne, Mitchelstown, Co. Cork, Ireland"
