f_location,latitude,longitude,location
"4 Te Puna Road, Te Puna,NewZealand",-37.6954299,176.0731788,"4 Te Puna Road, Te Puna 3174, New Zealand"
"66 Moore Street, Hillcrest, Auckland,NewZealand",-36.7991647,174.7305113,"66 Moore Street, Hillcrest, Auckland 0627, New Zealand"
"Murchison Vaccination Centre, 58 Hotham Street, Murchison,NewZealand",-41.8058201,172.326017,"58 Hotham Street, Murchison 7007, New Zealand"
"11 Parnwell Street, Burwood, Christchurch,NewZealand",-43.49538159999999,172.6884131,"11 Parnwell Street, Burwood, Christchurch 8083, New Zealand"
"445 Richardson Road, Mt Roskill, Auckland,NewZealand",-36.9130626,174.7280385,"445 Richardson Road, Mount Roskill, Auckland 1041, New Zealand"
"30 Lincoln Road, Hillmorton, Christchurch,NewZealand",-43.5527248,172.5968222,"30 Lincoln Road, Hillmorton, Christchurch 8024, New Zealand"
"14 Beale Street, Hamilton East, Hamilton,NewZealand",-37.7896647,175.2922592,"14 Beale Street, Hamilton East, Hamilton 3216, New Zealand"
"51 Main Street, ¨­taki,NewZealand",-40.7527312,175.1393285,"51 Main Street, Ōtaki 5512, New Zealand"
"215 Massey Road, M¨¡ngere East, Auckland,NewZealand",-36.9567364,174.8338618,"215 Massey Road, Favona, Auckland 2024, New Zealand"
"75 Picton Street, Howick, Auckland,NewZealand",-36.8941927,174.9316268,"75 Picton Street, Howick, Auckland 2014, New Zealand"
"53B Rawhiti Road, Manly, Whangapar¨¡oa,NewZealand",-36.6314707,174.7634617,"53B Rawhiti Road, Manly, Whangaparāoa 0930, New Zealand"
"NorthWest Shopping Centre, 7 Fred Taylor Drive, Massey, Auckland,NewZealand",-36.8178005,174.6110421,"1/7 Fred Taylor Drive, Massey, Auckland 0814, New Zealand"
"31 Hukanui Road, Fairfield, Hamilton,NewZealand",-37.7618292,175.2869784,"31 Hukanui Road, Fairfield, Hamilton 3214, New Zealand"
"Corner Edsel Street and Catherine Street, Henderson,NewZealand",-36.88179300000001,174.6329096,"Catherine St & Edsel St, Henderson, Auckland 0612, New Zealand"
"Eastcare, 260 Botany Road, Golflands, Auckland,NewZealand",-36.9224761,174.9134205,"260 Botany Road, Golflands, Auckland 2013, New Zealand"
"92 De Lautour Road, Inner Kaiti, Gisborne,NewZealand",-38.6686276,178.0478638,"92 De Lautour Road, Inner Kaiti, Gisborne 4010, New Zealand"
"289 Broadway, Stratford,NewZealand",-39.3402184,174.2847319,"289 Broadway, Stratford 4710, New Zealand"
