f_location,latitude,longitude,location
"CHP Sotouboua,Sotouboua,LA REGION CENTRALE,Togo",8.5653801,0.9772874,"Sotouboua, Togo"
"CHR Sokodé,Tchaoudjo,LA REGION CENTRALE,Togo",8.985360600000002,1.135404,"Hôpital de Tchaoudjo, Sokodé, Togo"
"Polyclinique SOKODE,nan,LA REGION CENTRALE,Togo",8.9818391,1.1393534,"N1, Sokodé, Togo"
"CHP Tchamba,Tchamba,LA REGION CENTRALE,Togo",9.029518,1.4168974,"Tchamba, Togo"
"CHP Djarkpanga,Mo,LA REGION CENTRALE,Togo",8.6586029,1.0586135,"Centrale Region, Togo"
"CHU Kara,Kozah,LA REGION DE LA KARA,Togo",9.556423599999999,1.1829152,"Kara, Togo"
"CHR Kara Tomdè,nan,LA REGION DE LA KARA,Togo",9.5530221,1.2088283,"Kara, Togo"
"CHP Kantè,Kéran,LA REGION DE LA KARA,Togo",9.9391073,1.0369267,"03, Kante, Togo"
"CHP Niamtougou ,Doufelgou,LA REGION DE LA KARA,Togo",9.7437515,1.1161166,"Niamtougou, Togo"
"CHP Bassar,Bassar,LA REGION DE LA KARA,Togo",9.264596200000002,0.7806316000000001,"7Q7J+R7J, Bassar, Togo"
"CHP Pagouda,Binah,LA REGION DE LA KARA,Togo",9.7485915,1.3228229,"Kpagouda, Togo"
"CHP Guérin-Kouka,Dankpen,LA REGION DE LA KARA,Togo",9.683728499999999,0.606207,"Guerin-Kouka, Togo"
"CHP Bafilo,Assoli,LA REGION DE LA KARA,Togo",9.356802499999999,1.248195,"Bafilo, Togo"
"CMS Cinkassé,Cinkasse,LA REGION DES SAVANES,Togo",11.1059574,0.014598,"Cinkassé, Togo"
"CHP Mango,Oti,LA REGION DES SAVANES,Togo",10.3528143,0.4681112,"Mango, Togo"
"USP Gando,Oti Sud,LA REGION DES SAVANES,Togo",10.32564,0.74861,"Gando, Togo"
"CHP Mandouri,Kpendjal,LA REGION DES SAVANES,Togo",10.8525347,0.8174972,"Mandouri, Togo"
"CMS Naki-Est,Kpendjal Ouest,LA REGION DES SAVANES,Togo",10.7118415,0.357106,"P964+PRQ, Tamondjouaré, Togo"
"CHP Tandjoaré,Tandjouaré,LA REGION DES SAVANES,Togo",10.6590068,0.2103988,"Tandjouare, Togo"
"Préfecture de Tone,Tone ,LA REGION DES SAVANES,Togo",10.8598022,0.2031264,"Dapaong, Togo"
"CHR Dapaong,Tone ,LA REGION DES SAVANES,Togo",10.8642264,0.2023643,"V672+MWX, Dapaong, Togo"
