Continent,Province,GDP_Per_Capita,Accessibility_Mean,Accessibility_SD,Population,Population 65+Proportion,Total_GDP,Income level,15min,30min,60min,Median_Time,Mortality_20201201,Mortality_20210501,Mortality_20220630,Dose_data_20210501,Dose_data_20220630,Province,
Oceania,Papua New Guinea,3115.92 ,1.88E-05,0.000277813,10142619,3.187278512,45100,LMIC,0.28,0.54,0.79,47.11,0.69,0.89,65.27,0.02,3.334,Papua New Guinea,
Oceania,New Zealand,48216.51 ,5.25E-05,0.000124499,5124100,16.30838863,266283,HIC,0.9,0.96,0.99,13.21,4.821,,277.13,3.96,82.77,New Zealand,
Asia,Guangdong,14020.85 ,2.85E-05,0.000396734,"126,012,510",8.58,3780000,UMIC,0.97,1,1,8.73,,5.01,,,,Guangdong,
Asia,Macao,35192.53 ,1.80E-05,4.20E-06,695168,12.99569817,38474,HIC,1,1,1,2.87,,,,10.03,88.28,Macao,
Asia,Hong Kong,48828.12 ,3.84E-05,3.95E-05,7346100,20.47262836,507244,HIC,0.99,1,1,7.99,,,,12.5,90.06,Hong Kong,
Asia,Bhutan,3704.02 ,1.04E-05,0.000116276,782455,6.253842074,9358,LMIC,0.12,0.17,0.27,240.15,1.278,1.28,26.84,61.41,88.566,Bhutan,
Asia,Kyrgyzstan,1739.80 ,1.81E-05,9.14E-05,6974900,4.542122211,41721,LMIC,0.39,0.47,0.57,124.5,,6.79,154.44,0.44,23.7,Kyrgyzstan,
Asia,Malaysia,11993.19 ,1.98E-05,0.000131436,33938221,7.502523372,1134677,UMIC,0.78,0.93,0.98,24.81,10.431,42.02,1053.5,2.67,82.72,Malaysia,
Asia,Singapore,88428.70 ,1.48E-05,6.37E-06,5637022,15.11730406,719084,HIC,1,1,1,4.5,5.145,5.15,249.96,28.82,90.93,Singapore,
Asia,South Korea,32394.68 ,0.000112046,0.003962751,51628117,17.4911356,2585011,HIC,0.98,1,1,6.06,10.093,34.99,473.41,6.43,86.3,South Korea,
Asia,Philippines,3499.11 ,1.83E-05,0.00011015,115559009,5.436762183,1170982,LMIC,0.68,0.86,0.96,23.11,72.11,144.29,523.7,1.43,65.72,Philippines,
Asia,United Arab Emirates,53707.98 ,2.87E-05,0.001046385,9441129,1.828949791,828263,HIC,0.26,0.72,0.98,30.53,60.268,166.19,244.78,57.26,105.83,United Arab Emirates,
Europe,Scotland,39242.00 ,0.000205356,0.000609769,5448000,20.14418929,253254.8854,HIC,0.99,1,1,6.06,68.80 ,130.5,225,51.55,82.97,Scotland,
Europe,England,43931.00 ,2.20E-05,0.000475186,57106000,18.61414373,2970587.402,HIC,0.91,1,1,11.46,91.50 ,191.7,277.4,51.1,79.71,England,
Europe,Northern Ireland,33974.00 ,0.000189101,0.001456512,1911000,17.55778331,77260.54216,HIC,0.99,1,1,6.72,53.30 ,108.5,181.7,49.46,75.25,Northern Ireland,
Europe,Ireland,103983.29 ,0.000120804,0.000098091,5127170,15.13618509,645565,HIC,0.94,0.99,1,9.57,411.896,986.44,1510.22,24.22,81.63,Ireland,
Europe,Belgium,49942.09 ,2.16E-06,1.19E-05,11685814,19.72909498,758833,HIC,0.33,0.66,0.96,33.8,1431.461,2067.96,2733.2,27.03,79.34,Belgium,
Europe,Luxembourg,125006.02 ,6.30E-06,1.14E-05,653103,15.02851301,92549,HIC,0.65,0.85,0.99,25.91,305.744,813.77,1358.86,22.92,74.32,Luxembourg,
Europe,France,40886.25 ,4.60E-05,0.000311146,67971311,21.65841996,3769924,HIC,0.88,1,1,11.82,762.488,1642.96,2320.95,23.94,80.41,France,
