Vaccination_sites,Address,Latitude,Longitude
Nyahuka Health Centre  IV,"Nyahuka, Uganda",0.6750562,29.9942867
Nyakibale Hospital,Uganda,-0.804,29.926
Nyakitunda Health Centre  III,Uganda,-0.887,30.707
Nyakwae Health Centre III,"Nyakwai, Uganda",2.5333333,33.9500008
Nyamarwa Health Centre  III,"Nyamarwa, Uganda",0.6932072,31.193945
Nyapea Hospital,"Nyapea, Uganda",2.4592448,30.9553638
Nyaruhandagazi Health Centre  II,Uganda,-0.707,30.545
Nyero Health Centre  III,Uganda,1.4716,33.8625
Obalanga Health Centre  III,"Obalang, Uganda",2.2051,33.592
Obongi Health Centre  IV,"Obongi, Uganda",3.2412105,31.5512722
Ochero H/CIII,"Ochero, Uganda",1.6801527,33.0148759
Offaka Health Centre  III,Uganda,2.6395,31.0298
Ogur Health Centre  IV,"CWRQ+423, Ogur, Uganda",2.4402545,32.9375589
Okungur,"Okungur, Uganda",2.3434739,33.7517723
Okwongo Health Centre III,Uganda,2.5099999,33.2624
Olujobo Health Centre  III,"3CC4+64Q, Uganda",3.0705928,31.4053684
Oluvu Health Centre  III,Uganda,3.2,30.8741
Ongako Health Centre III,"M6FH+WVF Kochkoo Primary School, Gulu, Uganda",2.6747015,32.2297139
Ongino Health Centre  III,"Ongino, Uganda",1.516667,34.05
Orungo Health Centre III,"2FR3+J9G, Orungo, Uganda",2.0415527,33.4534657
Orwamuge Health Centre III,Uganda,2.5219999,33.627
Osukuru,"Osukuru, Uganda",0.616667,34.183333
Otuboi Health Centre  III,Uganda,1.927,33.3103
Otwee Health Centre  III,Uganda,2.8186,31.8678
Paidah Health Centre  III,"Paidha, Uganda",2.4183904,30.9847642
Pajule Health Centre IV,Uganda,2.9397,32.9439
Pakanyi,"Pakanyi, Uganda",1.7662769,31.7808036
Pakele Health Centre III,"Pakelle, Uganda",3.3569,31.8551
Pakia Health Centre  III,Uganda,2.5379999,31.43
Pakwach Health Centre  IV,"Pakwach, Uganda",2.4607141,31.4941738
Palabek Kal Health Centre III,Uganda,3.3812,32.6517
Palabek Ogili Health Centre III,Uganda,3.4906,32.3797
Pallisa General Hospital,"5PG6+8H6, Pallisa, Uganda",1.1757992,33.7113895
Pallisa Town Council Health Centre  III,"Pallisa Town Council, Uganda",1.1766084,33.7182415
Palorinya  Health Centre  III,"FMP3+4XQ, Uganda",3.4853268,31.6549922
Parombo Health Centre  III,"Parombo, Uganda",2.3021193,31.2025336
Patongo Health Centre  III,"Q866+6MJ, Patongo, Uganda",2.7605779,33.3116322
Purongo Health Centre  III,Uganda,2.5667,31.8
Rakai Hospital,"7CP3+M5H, Rakai town, Uganda",-0.7133112,31.4029941
Rengen Health Centre  III,Uganda,3.049,33.889
Rhino Camp Health Centre  IV,"X9FW+7WM, Rhino Camp Rd, Rhino Camp, Uganda",2.9732209,31.3973048
Rubaare Health Centre  IV,"X5JJ+QW9, Unnamed Road, Rubaare, Uganda",-1.0180939,30.1823682
Rubaga Hospital,"8H32+FXH, Mutesa Rd, Kampala, Uganda",0.3038142,32.5532137
Rubindi Health Centre  III,Uganda,-0.3742,30.6094
Rugaaga Health Centre  IV,"Rugaaga, Uganda",-0.7922143,31.0564425
Rugazi Health Centre  IV,Uganda,-0.292,30.063
Rugyeyo Health Centre  III,"Rugyeyo, Uganda",-0.8833331,29.8166676
Ruhija Health Centre  III,"Ruhija Sub-county, Kabale District (Kabale-Kisoro Road)/ P.O.Box 05 Kabale - Kisoro Rd, Uganda",-1.2173416,29.9452168
Ruhoko Health Centre  IV,"RGXV+46C, Akatongore, Uganda",-0.1521776,30.5430222
Rukiri Health Centre  III,Uganda,-0.243,30.436
Rukungiri Health Centre  IV,"Rukungiri, Uganda",-0.789,29.926
Rushere community hospital,"QWRX+27C, Rushere, Uganda",-0.2099404,30.9481289
Rushoroza Hospital,"Rushoroza, Uganda",-1.2833331,29.9833336
Ruteete Health Center III,"Ruteete, Uganda",0.527194,30.3550808
Rwamwanja Health Centre  III,Uganda,0.2829999,30.599
Rwebisengo Health Centre  IV,"374F+Q52, Unnamed Road, Rwebisengo, Uganda",1.0568837,30.2728752
Rwekubo Health Centre  IV,Uganda,-0.838,30.833
Rwemikoma Health Centre  III,Uganda,0.056,30.86
Rwesande Health Centre  IV,Uganda,0.3911,30.1505
Rwimi Health Centre  III,Uganda,0.3857999,30.1988
Sanga Health Centre  III,Uganda,-0.494,30.899
Sekanyonyi  Health Centre  IV,"Sekanyonyi, Uganda",0.5022907,32.1391217
Sigulu Health Centre  III,Uganda,0.0995999,33.8274
Sipi Health Centre  III,"89MF+MV8, Sipi, Uganda",1.3341655,34.3747044
Sironko Health Centre  III,Uganda,1.16,34.229
Soroti Regional referral Hospital,"Soroti, Uganda",1.7161293,33.6101977
St Mary's Health Centre  III,"Butuntumula, Uganda",0.8860979,32.4893832
St Mary's Lacor General hospital,"Q69X+PJF, Gulu, Uganda",2.7652226,32.2501972
St. Francis Acumet Health Centre III,"5PMM+5F8, Achumet, Uganda",2.1829186,33.7336922
St. Francis Nsambya Hosp,"Nsambya Road, Hill/ Box 7146, Kampala, Uganda",0.3009029,32.586963
St. Joseph's Hospital Maracha,"Maracha, Uganda",3.2873127,30.9403023
St. Stephen Mpererwe Hospital,"Mpererwe, Kampala, Uganda",0.3818907,32.5761582
St.Pius Kidepo Health Centre III,Uganda,2.5655,34.6629999
Tegeres Health Centre  III,Uganda,1.406,34.385
Tirinyi Health Centre  III,Uganda,1.0091,33.7748
Tokora Health Centre  IV,Uganda,1.851,34.655
Tororo Hospital,"M5VP+FPF, Tororo, Uganda",0.6936989,34.1867888
Uganda Martyrs Ibanda Hospital,"VC9X+WCW, Ibanda, Uganda",-0.1301284,30.4485843
Ukusijoni Health Centre  III,"Ukusijoni, Uganda",3.1045123,31.5598345
"UMC, Victoria Hospital, Bukoto","Plot 1495 Kira Rd, Kampala, Uganda",0.3496966,32.6027822
UVRI Health Centre  II,"51/59 Nakiwogo Rd, Entebbe, Uganda",0.0756919,32.4574649
Villa Maria Hospital,"QP9V+H86, Unnamed Road, Villa Maria, Uganda",-0.2310865,31.7432781
Vurra Health Centre III,Uganda,2.9248,30.9098
Wadelai Health Centre  III,Uganda,2.733,31.398
Wadra Health Centre  III,"Alikwa Trading Centre, Yivu Sub County, Maracha, Along the Arua - Maracha Road/C/O P.O. Box 1, Maracha, Uganda",3.2685089,30.9560993
Waibuga Health Centre  III,Uganda,0.6289,33.385
Wakiso Health Centre  IV,"Wakiso Town Council,, Namirembe Rd, Wakiso, Uganda",0.3965175,32.4772912
Wera Health Centre III,"VQ83+G8H, Wera, Uganda",1.866324,33.7533581
Yinga Health Centre  III,Uganda,3.2606,31.242
Yumbe Health Centre  IV,Uganda,3.477,31.197
Zeu Health Centre  III,Uganda,2.541,30.818
